Time;time_err;0.3-2.5keV;0.3-2.5keV_err;2.5-10keV;2.5-10keV_err;HR;HR_err
2287.59;0.0706944;0.105476;0.007759;0.004119;0.001571;0.039053;0.015166
2291.34;0.169178;0.168848;0.010798;0.011782;0.0030092;0.069776;0.018371
2292.08;0.433403;0.109619;0.009307;0.003647;0.0017602;0.033266;0.016298
2293.01;0.242859;0.207563;0.015526;0.008094;0.0030982;0.038995;0.015207
2297.67;0.0367014;0.058926;0.007233;0.006716;0.002456;0.113970;0.043963
2298.76;0.0700463;0.119062;0.011439;0.005874;0.002598;0.049332;0.022326
2300.37;0.00255787;0.061415;0.015751;0.003234;0.003736;0.052652;0.062307
2301.95;0.345845;0.126262;0.008913;0.001402;0.0010678;0.011104;0.008488
2303.22;0.0737616;0.334803;0.019055;0.018468;0.004601;0.055160;0.014098
2304.53;0.0728241;0.135689;0.010230;0.006664;0.002278;0.049113;0.017188
2304.97;0.113067;0.101160;0.008037;0.005146;0.001898;0.050873;0.019191
2306.37;0.0269213;0.159380;0.013589;0.009672;0.003379;0.060687;0.021821
2312.7;0.0127315;0.201230;0.033366;0.016015;0.009476;0.079585;0.048902
2317.17;0.343681;0.215774;0.011618;0.011808;0.0027838;0.054723;0.013229
2318.46;0.0398495;0.080294;0.008411;0.001460;0.001214;0.018180;0.015242
2318.92;0.0354977;0.138415;0.009238;0.005540;0.001920;0.040023;0.014125
2320.98;0.0392361;0.373321;0.018831;0.017367;0.004192;0.046520;0.011471
2322.25;0.229664;0.305098;0.016587;0.021521;0.0048672;0.070537;0.016406
2323.01;0.00438657;0.163583;0.016299;0.002823;0.002302;0.017255;0.014179
2324.21;0.00934028;0.355087;0.021964;0.010950;0.003896;0.030836;0.011135
2324.58;0.0384838;0.431472;0.021560;0.016873;0.004412;0.039105;0.010410
2328.56;0.0385069;0.047164;0.005464;0.001510;0.001026;0.032015;0.022060
