Time;time_err;0.3-1.5keV;0.3-1.5keV_err;1.5-10keV;1.5-10keV_err;HR;HR_err;ID
4.15015;0.340074;0.094057;0.010587;0.002832;0.002045;0.030111;0.022005;00090394002
7.82523;0.00735649;0.103142;0.011323;0.014865;0.004363;0.144117;0.045166;00090394003
12.2462;0.00372903;0.107302;0.014735;0.015693;0.005648;0.146253;0.056336;00090394004
16.4709;0.00124785;0.187836;0.033017;0.051195;0.017206;0.272550;0.103372;00090394005
20.2777;0.00837218;0.242415;0.014855;0.042061;0.006066;0.173507;0.027187;00090394006
23.8825;0.00628279;0.159828;0.014260;0.022785;0.005358;0.142557;0.035855;00090394007
27.4429;0.00623922;0.051810;0.008442;0.014137;0.004459;0.272868;0.096866;00090394008
31.8481;0.00738551;0.114024;0.010440;0.009720;0.003121;0.085247;0.028463;00090394009
36.3325;0.00564433;0.023108;0.005588;0.003653;0.002282;0.158086;0.105890;00090394010
39.5524;0.00309059;0.068564;0.012972;0.009411;0.004964;0.137265;0.076923;00090394011
48.412;0.0365413;0.117354;0.011526;0.011790;0.003727;0.100468;0.033253;00090394013
55.82;0.00356943;0.067331;0.012322;0.010542;0.005011;0.156572;0.079745;00090394014
59.7292;0.0395373;0.098206;0.010628;0.008316;0.003199;0.084682;0.033838;00090394015
63.7405;0.0344456;0.115305;0.012125;0.022463;0.005420;0.194816;0.051273;00090394016
67.857;0.144339;0.113635;0.013153;0.020467;0.005658;0.180109;0.053983;00090394017
71.9461;0.006631;0.067427;0.008621;0.008263;0.003058;0.122552;0.047985;00090394018
75.9161;0.0324729;0.030964;0.006464;0.012752;0.004132;0.411835;0.158735;00090394019
79.8705;0.0370623;0.082591;0.009026;0.004431;0.002165;0.053651;0.026860;00090394020
84.4565;0.00663102;0.178457;0.014684;0.017669;0.004663;0.099010;0.027373;00090394021
87.9649;0.0371501;0.237664;0.021081;0.011714;0.004836;0.049289;0.020814;00090394022
95.9662;0.00667453;0.045341;0.007060;0.003804;0.002154;0.083890;0.049261;00090394024
100.017;0.0361928;0.121799;0.011981;0.013463;0.004017;0.110535;0.034723;00090394025
103.664;0.00632628;0.071692;0.009151;0.009926;0.003459;0.138450;0.051388;00090394026
107.537;0.00632628;0.080708;0.009765;0.012157;0.003862;0.150626;0.051204;00090394027
112.054;0.0370966;0.042871;0.006119;0.009245;0.002876;0.215648;0.073801;00090394028
115.907;0.00203138;0.130398;0.021640;0.038114;0.011788;0.292288;0.102591;00090394029
119.915;0.00671809;0.077657;0.009638;0.011064;0.003701;0.142469;0.050832;00090394030
124.108;0.0354547;0.083436;0.008954;0.015435;0.003899;0.184988;0.050772;00090394031
127.818;0.00766122;0.089875;0.009333;0.005164;0.002347;0.057462;0.026792;00090394032
131.895;0.0072259;0.079012;0.009189;0.015013;0.004055;0.190005;0.055881;00090394033
136.054;0.00721139;0.191451;0.015847;0.018548;0.005002;0.096881;0.027328;00090394034
139.994;0.00744358;0.285012;0.019951;0.033801;0.006712;0.118594;0.024970;00090394035
148.364;0.00551374;0.073500;0.009883;0.008666;0.003471;0.117898;0.049813;00090394037
152.12;0.00576042;0.037396;0.007165;0.006517;0.003044;0.174278;0.087981;00090394038
155.598;0.00740003;0.014520;0.006609;0.004501;0.003582;0.309967;0.284176;00090394039
160.082;0.0074581;0.100038;0.009796;0.019130;0.004335;0.191222;0.047204;00090394040
163.751;0.00734198;0.065077;0.008786;0.007575;0.003057;0.116396;0.049541;00090394041
167.575;0.0082561;0.143341;0.011096;0.007827;0.002697;0.054603;0.019281;00090394042
248.271;0.00821257;0.125993;0.012273;0.019860;0.004840;0.157629;0.041371;00090394043
252.121;0.0374084;0.186554;0.017683;0.040093;0.008601;0.214914;0.050404;00090394044
255.562;0.00703727;0.074178;0.008790;0.015946;0.004115;0.214965;0.061045;00090394045
259.721;0.00685072;0.049167;0.007714;0.001762;0.001638;0.035832;0.033794;00090394046
263.733;0.00695023;0.028391;0.005584;0.001872;0.001521;0.065951;0.055116;00090394047
268.211;0.00660198;0.092579;0.010186;0.010430;0.003483;0.112659;0.039609;00090394048
271.763;0.00660447;0.160176;0.013681;0.033989;0.006335;0.212196;0.043506;00090394049
276.497;0.0052816;0.066046;0.009677;0.006311;0.003124;0.095560;0.049330;00090394050
280.454;0.00684865;0.025793;0.006235;0.006826;0.003220;0.264640;0.140287;00090394051
284.472;0.006631;0.020975;0.004931;0.002017;0.001590;0.096166;0.079089;00090394052
288.218;0.00748707;0.095944;0.009766;0.025030;0.004991;0.260881;0.058406;00090394053
292.294;0.00718237;0.174414;0.015065;0.013380;0.004304;0.076713;0.025550;00090394054
296.378;0.00697924;0.065654;0.008517;0.007346;0.002887;0.111883;0.046307;00090394055
300.299;0.0361073;0.056090;0.008900;0.001858;0.001580;0.033132;0.028663;00090394056
312.178;0.00696472;0.096489;0.011658;0.007772;0.003420;0.080543;0.036759;00090394059
315.65;0.00561531;0.074882;0.009994;0.015191;0.004534;0.202863;0.066327;00090394060
320.273;0.00650041;0.066453;0.008762;0.010935;0.003594;0.164546;0.058269;00090394061
324.221;0.00735649;0.196122;0.014463;0.017246;0.004352;0.087935;0.023120;00090394062
328.496;0.00626829;0.231363;0.020718;0.070583;0.011858;0.305073;0.058077;00090394063
332.512;0.00666001;0.070645;0.009008;0.007306;0.002990;0.103414;0.044331;00090394064
336.045;0.00491884;0.134199;0.014102;0.022473;0.005830;0.167458;0.046870;00090394065
339.741;0.00645687;0.235581;0.023942;0.026470;0.008366;0.112361;0.037305;00090394066
345.963;0.00657295;0.027955;0.005693;0.004252;0.002275;0.152115;0.087068;00090394068
348.303;0.00573139;0.106280;0.011657;0.027981;0.006011;0.263276;0.063506;00090394069
352.45;0.00790786;0.038815;0.008094;0.006401;0.003363;0.164906;0.093211;00090394070
356.37;0.0379195;0.106918;0.011450;0.027791;0.005960;0.259926;0.062307;00090394071
360.086;0.00523806;0.103466;0.012004;0.018293;0.005121;0.176798;0.053578;00090394072
