Time;time_err;0.3-1.5keV;0.3-1.5keV_err;1.5-10keV;1.5-10keV_err;HR;HR_err;ID
2288.56;0.0397439;0.199802;0.013766;0.026769;0.005294;0.133977;0.028060;00081958001
2290.89;0.0384134;0.162888;0.011138;0.029303;0.004676;0.179898;0.031233;00081958002
2311.98;0.0042369;0.149695;0.017476;0.022733;0.007446;0.151859;0.052808;00081958003
2313.61;0.0311455;0.025533;0.004228;0.001659;0.001198;0.064970;0.048145;00081958004
2318.32;0.0364785;0.015891;0.003121;0.003766;0.001523;0.237013;0.106555;00081958005




